Description	Resource	Path	Location	Type
Sheet cannot be resolved to a type	UploadJobServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/upload	line 77	Java Problem
The import org.apache.poi cannot be resolved	UploadJobServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/upload	line 8	Java Problem
The import org.apache.poi cannot be resolved	UploadJobServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/upload	line 9	Java Problem
XSSFWorkbook cannot be resolved to a type	UploadJobServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/upload	line 72	Java Problem
XSSFWorkbook cannot be resolved to a type	UploadJobServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/upload	line 72	Java Problem
Sheet cannot be resolved to a type	User01BatchServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/service/impl	line 202	Java Problem
The import org.apache.poi cannot be resolved	User01BatchServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/service/impl	line 7	Java Problem
The import org.apache.poi cannot be resolved	User01BatchServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/service/impl	line 8	Java Problem
XSSFWorkbook cannot be resolved to a type	User01BatchServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/service/impl	line 197	Java Problem
XSSFWorkbook cannot be resolved to a type	User01BatchServiceImpl.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/service/impl	line 197	Java Problem
_NONE cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 175	Java Problem
BLANK cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 174	Java Problem
BOOLEAN cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 160	Java Problem
Cell cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 103	Java Problem
Cell cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 115	Java Problem
Cell cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 125	Java Problem
Cell cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 144	Java Problem
CellType cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 128	Java Problem
DateUtil cannot be resolved	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 150	Java Problem
ERROR cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 176	Java Problem
FORMULA cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 162	Java Problem
NUMERIC cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 149	Java Problem
Row cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 66	Java Problem
Row cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 99	Java Problem
Row cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 114	Java Problem
Row cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 124	Java Problem
Sheet cannot be resolved to a type	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 60	Java Problem
STRING cannot be resolved to a variable	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 147	Java Problem
The import org.apache.poi cannot be resolved	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 6	Java Problem
The import org.apache.poi cannot be resolved	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 7	Java Problem
The import org.apache.poi cannot be resolved	UserExcelRowParser.java	/prafta-backend/src/main/java/com/prafta/web/user/user01/util	line 8	Java Problem
